timestamp	ok	training_active	uptime	learn_calls	infer_calls	errors	neuron_count	current_stage	current_step	ann_loss	cnn_loss	snn_loss	lnn_loss	fno_loss	ann_steps	fno_steps	fno_params	hnn_active	hnn_energy	hnn_energy_deviation	snn_spikes	snn_rate_hz	snn_sparsity	stage2.active_engines	stage2.fep_free_energy	stage2.attention_strength	stage2.warm_start_complete	stage2.inference_time_ms
1.77712e+09	1	1	24187.3	6695	366	178	150000			1480.75	3.85273e-14	121.564	1.00906e-11	0	2750	2116	34432	1	0.84311	0.408136	107044945	0	0	0	0.408136	1	0	9197.88
1.77712e+09	1	1	24250.1	6695	371	178	150000			1480.75	3.85273e-14	121.564	1.00906e-11	0	2750	2116	34432	1	0.84311	0.408136	144955221	803.935	0.0652592	0	0.408136	1	0	9199.09
1.77712e+09	1	0	24310.2	6695	378	178	150000			1480.75	3.85273e-14	121.564	1.00906e-11	0	2750	2116	34432	1	0.84311	0.408136	144959050	803.956	0.0653524	0	0.408136	1	0	9199.3
1.77712e+09	1	0	24380.1	6695	383	178	150000			1480.75	3.85273e-14	121.564	1.00906e-11	0	2750	2116	34432	1	0.84311	0.408136	144953257	803.924	0.0653329	0	0.408136	1	0	9200.53
1.77712e+09	1	0	24440.4	6695	389	178	150000			1480.75	3.85273e-14	121.564	1.00906e-11	0	2750	2116	34432	1	0.84311	0.408136	100521334	0	0	0	0.408136	1	0	9200.78
1.77712e+09	1	0	24503.7	6695	394	178	150000			1480.75	3.85273e-14	121.564	1.00906e-11	0	2750	2116	34432	1	0.84311	0.408136	106294638	0	0	0	0.408136	1	0	9202.17
1.77712e+09	1	1	24566.8	6720	396	179	150000			1541.72	3.591e-14	123.033	9.40513e-12	0	2756	2132	34432	1	0.84162	0.409181	154151261	798.692	0.0673639	0	0.409181	1	0	9202.25
1.77712e+09	1	1	24629	6752	396	179	150000			1617.48	3.34705e-14	124.735	8.7662e-12	0	2764	2146	34432	1	0.839464	0.410695	164252114	798.692	0.0673639	0	0.410695	1	0	9202.25
1.77712e+09	1	1	24689	6789	396	179	150000			1695.75	3.02701e-14	126.47	7.92799e-12	0	2773	2166	34432	1	0.834728	0.41402	178336935	798.692	0.0673639	0	0.41402	1	0	9202.25
1.77712e+09	1	1	24756.4	6805	399	179	150000			1728.3	2.9371e-14	127.125	7.69252e-12	0	2777	2173	34432	1	0.833062	0.415189	120920871	663.984	0.124356	0	0.415319	1	0	9203.07
1.77712e+09	0	1																										
1.77712e+09	0	1																										
1.77712e+09	0	1																										
1.77712e+09	0	1																										
1.77712e+09	1	0	7.20358	0	0	0	150000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	9203.07
1.77712e+09	1	1	67.2478	83	0	0	150000			1.5526	0.0370179	0.822988	3.8597	0	27	52	34432	1	0.822856	0.010622	44087	0	0	0	0.010622	1	0	9203.07
1.77712e+09	1	1	127.45	130	3	0	150000			4.91007	0.0326433	17.3885	6.19075	0	41	81	34432	1	0.819243	0.0149657	721827	3.60225	0.71669	0	0.0149657	1	0	9202.45
1.77712e+09	1	1	188.084	204	4	0	150000			8.58244	0.0278017	38.6481	7.22148	0	59	115	34432	1	0.814454	0.0207245	406122	0	0	0	0.0207245	1	0	9202.77
1.77712e+09	1	1	251.231	260	6	0	150000			10.497	0.0239111	54.0186	6.21089	0	73	146	34432	1	0.8084	0.028004	748101	3.65933	0.71345	0	0.028004	1	0	9202.5
1.77712e+09	1	1	311.375	316	8	0	150000			12.5723	0.0201557	68.8258	5.23543	0	91	180	34432	1	0.80406	0.0332221	599231	0	0	0	0.0332221	1	0	9203.1
1.77712e+09	1	1	374.595	376	9	0	150000			14.3515	0.016652	82.425	4.32535	0	109	219	34432	1	0.798168	0.0403062	782077	3.72585	0.709414	0	0.0403062	1	0	9203.1
1.77712e+09	1	1	437.195	425	14	0	150000			15.3561	0.0149092	90.1612	3.87265	0	121	242	34432	1	0.793124	0.0463711	37701	0	0	0	0.0463711	1	0	9202.32
1.77712e+09	1	1	507.157	425	23	0	150000			15.3561	0.0149092	90.1612	3.87265	0	121	242	34432	1	0.793124	0.0463711	15809	0	0	0	0.0463711	1	0	9199.9
1.77712e+09	1	1	573.296	425	31	0	150000			15.3561	0.0149092	90.1612	3.87265	0	121	242	34432	1	0.793124	0.0463711	268343	0	0	0	0.0463711	1	0	9198.42
1.77712e+09	1	1	637.265	425	39	0	150000			15.3561	0.0149092	90.1612	3.87265	0	121	242	34432	1	0.793124	0.0463711	445046	0	0	0	0.0463711	1	0	9196.52
1.77712e+09	1	1	698.729	425	47	0	150000			15.3561	0.0149092	90.1612	3.87265	0	121	242	34432	1	0.793124	0.0463711	542721	0	0	0	0.0463711	1	0	9194.75
1.77712e+09	1	0	759.656	425	55	0	150000			15.3561	0.0149092	90.1612	3.87265	0	121	242	34432	1	0.793124	0.0463711	428657	0	0	0	0.0463711	1	0	9192.84
1.77712e+09	1	1	821.274	466	60	1	150000			16.0516	0.0133487	95.5938	3.46733	0	131	265	34432	1	0.790106	0.0499998	619302	3.12679	0.726919	0	0.0499998	1	0	9191.65
1.77712e+09	1	1	881.951	539	60	1	150000			17.3372	0.010918	105.716	2.83596	0	152	305	34432	1	0.784461	0.0567871	739005	3.12679	0.726919	0	0.0567871	1	0	9191.48
1.77712e+09	1	1	949.989	557	63	1	150000			17.6218	0.0102791	107.946	2.67	0	157	318	34432	1	0.782627	0.0589917	149425911	779.889	0.0173981	0	0.0589917	1	0	9191.24
1.77712e+09	1	1	1015.49	586	63	1	150000			18.1399	0.00929624	112.414	2.4147	0	167	338	34432	1	0.780446	0.0616148	163962986	779.889	0.0173981	0	0.0616148	1	0	9191.24
1.77712e+09	1	1	1082.72	615	63	1	150000			18.5913	0.00849228	115.65	2.20587	0	177	356	34432	1	0.778413	0.0640593	176619498	779.889	0.0173981	0	0.0640593	1	0	9191.24
1.77712e+09	1	1	1142.77	643	63	1	150000			18.96	0.00768027	118.61	1.99495	0	186	376	34432	1	0.776029	0.0669258	189649947	779.889	0.0173981	0	0.0669258	1	0	9191.24
1.77712e+09	1	1	1205.24	668	65	1	150000			19.2067	0.00723082	120.643	1.8782	0	193	388	34432	1	0.773944	0.0694325	53480537	0	0	0	0.0694325	1	0	9191.88
1.77712e+09	1	1	1274.5	700	66	1	150000			19.4555	0.0066722	122.672	1.7331	0	201	405	34432	1	0.771154	0.0727867	106195384	544.89	0.123135	0	0.0732137	1	0	9191.88
1.77712e+09	1	1	1339.51	738	66	1	150000			19.7141	0.00609517	124.751	1.58322	0	210	423	34432	1	0.76829	0.0762313	114910033	544.89	0.123135	0	0.0764036	1	0	9191.88
1.77712e+09	1	1	1404.48	788	66	1	150000			20.0395	0.00534864	127.406	1.38931	0	223	449	34432	1	0.764371	0.0809425	123273490	544.89	0.123135	0	0.0813197	1	0	9191.88
1.77712e+09	1	1	1467.38	827	69	1	150000			20.3513	0.00460014	129.96	1.19489	0	237	480	34432	1	0.760532	0.085559	203562	1.02089	0.93997	0	0.085559	1	0	9191.02
1.77712e+09	1	1	1528.05	898	69	1	150000			20.7603	0.00368762	133.319	0.957857	0	259	524	34432	1	0.75483	0.0924147	228959	1.02089	0.93997	0	0.0924147	1	0	9191.02
1.77712e+09	1	1	1588.89	945	72	1	150000			20.887	0.00326865	134.462	0.84903	0	272	549	34432	1	0.751478	0.0964453	595357	3.03348	0.760328	0	0.0967246	1	0	9190.18
1.77712e+09	1	1	1652.77	1026	72	1	150000			21.1177	0.00264672	136.482	0.687483	0	292	591	34432	1	0.744675	0.104625	709944	3.03348	0.760328	0	0.104625	1	0	9190.18
1.77712e+09	1	1	1713.04	1042	79	1	150000			21.1644	0.00256811	136.754	0.667064	0	296	597	34432	1	0.743557	0.105969	270058	0	0	0	0.105969	1	0	9188.37
